NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Tipo,Estado
8845,052,260,31557041,87474565,289828,1618617600,1646956800,35018263,DEPOSITADO,PENDIENTE
8911,080,226,12722290,82662492,743398,1657497600,1539734400,35018263,EMITIDO,APROBADO
3616,031,137,95234388,29653664,525041,1517702400,1634428800,40559871,EMITIDO,RECHAZADO
4177,029,212,20807682,18104560,975407,1539820800,1645833600,31715094,DEPOSITADO,RECHAZADO
1999,036,131,47569737,14512205,758123,1647907200,1539043200,24225905,DEPOSITADO,APROBADO
9500,058,239,46852597,32529079,261085,1663372800,1614643200,40728897,DEPOSITADO,PENDIENTE
9974,030,164,64888163,93721502,596568,1586131200,1550361600,36014234,EMITIDO,APROBADO
1999,031,236,47569737,93916974,229564,1489276800,1518393600,24225905,EMITIDO,PENDIENTE
0452,047,051,35402927,70767668,850440,1605398400,1487203200,41386787,EMITIDO,RECHAZADO
7689,019,146,28058358,42431392,747025,1579651200,1656115200,24225905,EMITIDO,APROBADO
9433,086,169,54399422,24408213,979941,1611705600,1614729600,13476720,EMITIDO,APROBADO
9752,061,013,40067443,55338369,228718,1561075200,1621296000,35927903,DEPOSITADO,PENDIENTE
1488,075,241,38745598,31680381,716834,1577232000,1586304000,24225905,DEPOSITADO,PENDIENTE
1763,074,031,74371367,59546750,997048,1548633600,1502323200,41229432,EMITIDO,RECHAZADO
0686,045,120,88614711,30610209,976168,1590192000,1523836800,35104252,DEPOSITADO,APROBADO
3531,072,056,29990716,35941581,479095,1566604800,1543017600,28149903,DEPOSITADO,PENDIENTE
1013,042,083,33027821,94562152,811597,1635033600,1607212800,21025713,EMITIDO,APROBADO
9672,087,032,64678399,18015081,962862,1602288000,1621468800,38237119,DEPOSITADO,APROBADO
0537,019,046,52202579,72854269,641954,1569024000,1486944000,11864247,DEPOSITADO,PENDIENTE
5511,004,128,81661164,49439922,562912,1603584000,1514332800,20888424,DEPOSITADO,APROBADO
8021,070,252,95968097,12223249,614936,1620604800,1617580800,35018263,DEPOSITADO,RECHAZADO
7149,076,246,79044219,83391249,970503,1551484800,1491436800,11432502,DEPOSITADO,PENDIENTE
9839,048,116,77920378,18758025,162151,1634256000,1658707200,10370052,EMITIDO,RECHAZADO
1319,008,098,20159164,88927544,449941,1563840000,1528070400,33867124,EMITIDO,PENDIENTE
7749,012,180,77391939,14287126,722026,1566259200,1666828800,40559871,DEPOSITADO,APROBADO
5095,073,194,28380488,26005316,410565,1576886400,1600214400,30619426,EMITIDO,RECHAZADO
7991,092,294,90590467,91714819,28923,1637193600,1670716800,26865801,EMITIDO,APROBADO
9666,001,019,35060959,66889429,436924,1495929600,1488326400,25171257,DEPOSITADO,RECHAZADO
6625,080,164,15452296,67302838,674090,1608681600,1581379200,19308127,DEPOSITADO,PENDIENTE
